IMB2002A &  North Pole & 2002-04-25 & 2003-02-28 & 0.50  &  2.45 & 1
IMB2003A &  Central Arctic & 2003-04-30 & 2003-07-16 & 0.58  &  2.62 & 2  
IMB2003C &  Beaufort Sea & 2003-08-31 & 2004-07-10 & 0.04  &  0.84 & 3 
IMB2003D &  Beaufort Sea & 2003-08-23 & 2003-12-01 & 0.15  &  2.28 & 3 
IMB2004A &  Central Arctic & 2004-04-25 & 2005-02-07 & 0.23  &  1.95 & 2 
IMB2004B &  Central Arctic & 2004-04-24 & 2005-01-11 & 0.26  &  2.20 & 2 
IMB2004C &  Central Arctic & 2004-04-28 & 2004-12-08 & 0.23  &  2.73 & 2 
IMB2004D &  Central Arctic & 2004-04-25 & 2005-03-07 & 0.12  &  2.00 & 2 
IMB2005C &  Beaufort Sea & 2005-08-15 & 2006-08-19 & 0.00  &  4.33 & 3 
IMB2005F &  Central Arctic & 2005-09-03 & 2007-03-22 & 0.11  &  2.58 & 2 
IMB2006C &  Beaufort Sea & 2006-09-04 & 2008-07-14 & 0.20  &  2.90 & 3 
IMB2006D &  Laptev Sea & 2006-09-04 & 2007-12-02 & 0.00  &  1.09 & 4 
IMB2006E &  Laptev Sea & 2006-09-05 & 2007-06-17 & 0.04  &  1.17 & 4 
IMB2007B &  Beaufort Sea & 2007-04-09 & 2007-08-25 & 0.00  &  2.69 & 3 
IMB2007C &  Central Arctic & 2007-05-01 & 2007-12-13 & 0.05  &  2.15 & 2 
IMB2007D &  Central Arctic & 2007-04-30 & 2007-07-23 & 0.02  &  1.39 & 2 
IMB2007E &  Beaufort Sea & 2007-08-22 & 2008-08-24 & 0.02  &  3.05 & 3 
IMB2007F &  Beaufort Sea & 2007-08-16 & 2008-08-08 & 0.01  &  3.04 & 3 
IMB2007H &  Central Arctic & 2007-09-11 & 2008-02-24 & 0.00  &  2.92 & 2 
IMB2007I &  Central Arctic & 2007-09-17 & 2007-09-24 & 0.00  &  2.70 & 2 
IMB2008B &  Central Arctic & 2008-04-21 & 2009-05-24 & 0.06  &  2.04 & 2 
IMB2008C &  Central Arctic & 2008-04-21 & 2009-05-07 & 0.27  &  2.68 & 2 
IMB2008E &  Central Arctic & 2008-04-29 & 2008-11-11 & 0.04  &  1.92 & 2 
IMB2008F &  Beaufort Sea & 2008-08-08 & 2009-01-06 & 0.04  &  3.55 & 3 
IMB2009A &  Central Arctic & 2009-04-19 & 2009-08-05 & 0.48  &  2.04 & 2 
IMB2010A &  Central Arctic & 2010-04-20 & 2010-12-02 & 0.24  &  1.63 & 2 
IMB2010B &  Beaufort Sea & 2010-04-12 & 2010-08-13 & 0.37  &  1.21 & 3 
IMB2010C &  Baffin Bay & 2010-04-12 & 2010-06-28 & 0.11  &  3.19 & 7 
IMB2010F &  Beaufort Sea & 2010-10-08 & 2011-08-01 & 0.25  &  1.99 & 3 
IMB2010G &  Canadian Arctic Archipelago & 2010-10-11 & 2011-06-14 &  0.10  &  3.80 & 6 
IMB2010H &  Central Arctic & 2010-10-25 & 2011-09-29 & 0.00  &  1.15 & 2 
